★1+1★
롯데)트로피파인캔355ml - 1,200원
파이)민트초코바 - 1,800원
풀무원)동물복지훈제란2입 - 2,000원
해태)자유시간아몬드36g - 1,000원
해태)맛동산90g - 2,000원
롯데)따봉제주감귤340ml - 1,000원
크라운)땅콩카라멜봉지 - 2,000원
크리넥스)캡형물티슈60매 - 3,000원
롯데)프로틴오트바 - 1,200원
롯데)식이섬유오트바 - 1,200원
나뚜루)트리플치즈쿠키컵 - 3,900원
동원)지중해황도410g - 2,900원
오뚜기)달콤데리야끼치킨 - 3,000원
비비안)여성헴팬티90 - 8,900원
비비안)여성헴팬티95 - 8,900원
비비안)남성드로즈100 - 8,900원
비비안)남성드로즈105 - 8,900원
비비안)남성면런닝 - 8,900원
비비안)여성캐미솔 - 8,900원
동원)더킹랍스터맛140g - 2,900원
코카)파워에이드퍼플600ml - 2,000원
갸스비)슈퍼헤어젤200g - 5,000원
롯데)스크류바피치 - 1,000원
해태)구운치즈감자칩 - 1,500원
썬푸드)구운한치 - 2,500원
썬푸드)구운전갱이 - 2,500원
GRN)지금부터숙취해소제 - 5,000원
빙그레)뽀로로젤리 - 1,200원
풀무원)모짜렐라핫포크 - 2,800원
삼립)잼있는사과쿠키 - 800원
삼립)잼있는딸기쿠키 - 800원
고려은단)비타민C1000병 - 700원
롯데)콘트라베이스라떼500 - 2,500원
롯데)몬스터칙촉쇼콜라 - 1,200원
롯데)몬스터칙촉티라미수 - 1,200원
동원)리얼킹치즈후랑크 - 2,000원
오뚜기)컵밥부대찌개밥 - 3,500원
CJ)컵반볶은김치덮밥 - 3,500원

★3+1★
농심)냉라면 - 1,500원
농심)도토리쫄쫄면 - 1,500원
농심)미역초장비빔면 - 1,500원

